Date,ID,Target
2/5/2015,166,158
2/4/2015,167,8059
2/4/2015,168,287
2/4/2015,169,2394
2/4/2015,170,10740
2/4/2015,171,262
2/4/2015,172,262
2/4/2015,173,2910
2/4/2015,174,208
2/4/2015,175,158
2/4/2015,176,3276
2/3/2015,177,10740
2/3/2015,178,8059
2/3/2015,179,287
2/3/2015,180,2394
2/3/2015,181,3276
2/3/2015,182,2910
2/3/2015,183,208
2/3/2015,184,158
2/2/2015,185,10707
2/2/2015,186,8042
2/2/2015,187,287
2/2/2015,188,2378
2/2/2015,189,3274
2/2/2015,190,2908
2/2/2015,191,208
2/2/2015,192,158
1/30/2015,193,10561
1/30/2015,194,7989
1/30/2015,195,287
1/30/2015,196,2285
1/30/2015,197,3216
1/30/2015,198,2850
1/30/2015,199,208
1/30/2015,200,158
1/29/2015,201,10537
1/29/2015,202,7977
1/29/2015,203,287
1/29/2015,204,2273
1/29/2015,205,3207
1/29/2015,206,2841
1/29/2015,207,208
1/29/2015,208,158
1/28/2015,209,2263
1/28/2015,210,7968
1/28/2015,211,208
1/28/2015,212,366
1/28/2015,213,158
1/28/2015,214,2833
1/28/2015,215,287
1/28/2015,216,10518
1/28/2015,217,366
1/28/2015,218,3199
1/27/2015,219,3199
1/27/2015,220,208
1/27/2015,221,10518
1/27/2015,222,7968
1/27/2015,223,287
1/27/2015,224,158
1/27/2015,225,2263
1/27/2015,226,2833
1/26/2015,227,208
1/26/2015,228,10491
1/26/2015,229,2829
1/26/2015,230,158
1/26/2015,231,7963
1/26/2015,232,287
1/26/2015,233,2241
1/26/2015,234,3195
1/23/2015,235,287
1/23/2015,236,2192
1/23/2015,237,7921
1/23/2015,238,158
1/23/2015,239,3159
1/23/2015,240,208
1/23/2015,241,2793
1/23/2015,242,10400
1/22/2015,243,10362
1/22/2015,244,287
1/22/2015,245,158
1/22/2015,246,7909
1/22/2015,247,2166
1/22/2015,248,3153
1/22/2015,249,2787
1/22/2015,250,208
1/21/2015,251,549
1/21/2015,252,2779
1/21/2015,253,208
1/21/2015,254,2150
1/21/2015,255,549
1/21/2015,256,3145
1/21/2015,257,7903
1/21/2015,258,287
1/21/2015,259,10340
1/21/2015,260,158
1/20/2015,261,2150
1/20/2015,262,3145
1/20/2015,263,2779
1/20/2015,264,208
1/20/2015,265,10340
1/20/2015,266,287
1/20/2015,267,158
1/20/2015,268,7903
1/19/2015,269,10306
1/19/2015,270,2766
1/19/2015,271,208
1/19/2015,272,158
1/19/2015,273,7883
1/19/2015,274,2136
1/19/2015,275,287
1/19/2015,276,3132
1/16/2015,277,10186
1/16/2015,278,7825
1/16/2015,279,287
1/16/2015,280,2074
1/16/2015,281,3083
1/16/2015,282,2717
1/16/2015,283,208
1/16/2015,284,158
1/15/2015,285,10150
1/15/2015,286,7802
1/15/2015,287,287
1/15/2015,288,2061
1/15/2015,289,3067
1/15/2015,290,2701
1/15/2015,291,208
1/15/2015,292,158
1/14/2015,293,7786
1/14/2015,294,287
1/14/2015,295,2051
1/14/2015,296,10124
1/14/2015,297,769
1/14/2015,298,769
1/14/2015,299,2696
1/14/2015,300,208
1/14/2015,301,158
1/14/2015,302,3062
1/13/2015,303,10094
1/13/2015,304,7766
1/13/2015,305,287
1/13/2015,306,2041
1/13/2015,307,3049
1/13/2015,308,2683
1/13/2015,309,208
1/13/2015,310,158
1/12/2015,311,7766
1/12/2015,312,287
1/12/2015,313,2041
1/12/2015,314,10094
1/12/2015,315,2683
1/12/2015,316,208
1/12/2015,317,158
1/12/2015,318,3049
1/9/2015,319,7759
1/9/2015,320,287
1/9/2015,321,1984
1/9/2015,322,10030
1/9/2015,323,2611
1/9/2015,324,208
1/9/2015,325,158
1/9/2015,326,2977
1/8/2015,327,7759
1/8/2015,328,287
1/8/2015,329,1984
1/8/2015,330,10030
1/8/2015,331,2611
1/8/2015,332,208
1/8/2015,333,158
1/8/2015,334,2977
1/7/2015,335,7602
1/7/2015,336,287
1/7/2015,337,1819
1/7/2015,338,9780
1/7/2015,339,2577
1/7/2015,340,208
1/7/2015,341,158
1/7/2015,342,2943
1/7/2015,343,900
1/7/2015,344,900
1/6/2015,345,7602
1/6/2015,346,287
1/6/2015,347,1819
1/6/2015,348,9780
1/6/2015,349,2577
1/6/2015,350,208
1/6/2015,351,158
1/6/2015,352,2943
1/5/2015,353,7570
1/5/2015,354,287
1/5/2015,355,1915
1/5/2015,356,9772
1/5/2015,357,2549
1/5/2015,358,208
1/5/2015,359,158
1/5/2015,360,2915
1/2/2015,361,7476
1/2/2015,362,287
1/2/2015,363,1870
1/2/2015,364,9633
1/2/2015,365,2461
1/2/2015,366,208
1/2/2015,367,158
1/2/2015,368,2827
12/31/2014,369,7354
12/31/2014,370,287
12/31/2014,371,1805
12/31/2014,372,9446
12/31/2014,373,979
12/31/2014,374,979
12/31/2014,375,2392
12/31/2014,376,208
12/31/2014,377,158
12/31/2014,378,2758
12/30/2014,379,7354
12/30/2014,380,287
12/30/2014,381,1805
12/30/2014,382,9446
12/30/2014,383,2392
12/30/2014,384,208
12/30/2014,385,158
12/30/2014,386,2758
12/29/2014,387,7326
12/29/2014,388,287
12/29/2014,389,1796
12/29/2014,390,9409
12/29/2014,391,2366
12/29/2014,392,208
12/29/2014,393,158
12/29/2014,394,2732
12/26/2014,395,7160
12/26/2014,396,287
12/26/2014,397,1756
12/26/2014,398,9203
12/26/2014,399,2289
12/26/2014,400,208
12/26/2014,401,158
12/26/2014,402,2655
12/24/2014,403,7017
12/24/2014,404,287
12/24/2014,405,1700
12/24/2014,406,9004
12/24/2014,407,2216
12/24/2014,408,208
12/24/2014,409,158
12/24/2014,410,2582
12/23/2014,411,7017
12/23/2014,412,287
12/23/2014,413,1700
12/23/2014,414,9004
12/23/2014,415,2216
12/23/2014,416,208
12/23/2014,417,158
12/23/2014,418,2582
12/22/2014,419,6975
12/22/2014,420,287
12/22/2014,421,1677
12/22/2014,422,8939
12/22/2014,423,2190
12/22/2014,424,208
12/22/2014,425,158
12/22/2014,426,2556
12/17/2014,427,6702
12/17/2014,428,79
12/17/2014,429,1575
12/17/2014,430,8356
12/17/2014,431,1261
12/17/2014,432,1261
12/17/2014,433,1876
12/17/2014,434,174
12/17/2014,435,35
12/17/2014,436,2085
12/15/2014,437,6638
12/15/2014,438,79
12/15/2014,439,1556
12/15/2014,440,8273
12/15/2014,441,1824
12/15/2014,442,174
12/15/2014,443,35
12/15/2014,444,2033
12/10/2014,445,6375
12/10/2014,446,79
12/10/2014,447,1443
12/10/2014,448,7897
12/10/2014,449,1319
12/10/2014,450,1319
12/10/2014,451,1559
12/10/2014,452,174
12/10/2014,453,35
12/10/2014,454,1768
12/3/2014,455,5978
12/3/2014,456,79
12/3/2014,457,1255
12/3/2014,458,7312
12/3/2014,459,1455
12/3/2014,460,1455
12/3/2014,461,1374
12/3/2014,462,174
12/3/2014,463,35
12/3/2014,464,1583
12/1/2014,465,5831
12/1/2014,466,79
12/1/2014,467,1199
12/1/2014,468,7109
12/1/2014,469,1321
12/1/2014,470,174
12/1/2014,471,35
12/1/2014,472,1530
11/26/2014,473,5441
11/26/2014,474,79
11/26/2014,475,1079
11/26/2014,476,6599
11/26/2014,477,1339
11/26/2014,478,1339
11/26/2014,479,1189
11/26/2014,480,174
11/26/2014,481,35
11/26/2014,482,1398
11/21/2014,483,5152
11/21/2014,484,79
11/21/2014,485,959
11/21/2014,486,6190
11/21/2014,487,1058
11/21/2014,488,174
11/21/2014,489,35
11/21/2014,490,1267
11/19/2014,491,5056
11/19/2014,492,79
11/19/2014,493,938
11/19/2014,494,6073
11/19/2014,495,1389
11/19/2014,496,5
11/19/2014,497,1394
11/19/2014,498,1041
11/19/2014,499,174
11/19/2014,500,35
11/19/2014,501,1250
11/14/2014,502,4683
11/14/2014,503,79
11/14/2014,504,824
11/14/2014,505,5586
11/14/2014,506,978
11/14/2014,507,174
11/14/2014,508,35
11/14/2014,509,1187
11/12/2014,510,4523
11/12/2014,511,79
11/12/2014,512,766
11/12/2014,513,5368
11/12/2014,514,1197
11/12/2014,515,14
11/12/2014,516,1211
11/12/2014,517,960
11/12/2014,518,174
11/12/2014,519,35
11/12/2014,520,1169
11/7/2014,521,4149
11/7/2014,522,79
11/7/2014,523,634
11/7/2014,524,4862
11/7/2014,525,921
11/7/2014,526,174
11/7/2014,527,35
11/7/2014,528,1130
11/5/2014,529,4057
11/5/2014,530,79
11/5/2014,531,623
11/5/2014,532,4759
11/5/2014,533,1160
11/5/2014,534,14
11/5/2014,535,1174
11/5/2014,536,893
11/5/2014,537,142
11/5/2014,538,35
11/5/2014,539,1070
10/31/2014,540,3778
10/31/2014,541,322
10/31/2014,542,1238
10/31/2014,543,5338
10/31/2014,544,1510
10/29/2014,545,3700
10/29/2014,546,322
10/29/2014,547,1213
10/29/2014,548,5235
10/29/2014,549,1187
10/29/2014,550,14
10/29/2014,551,232
10/29/2014,552,1433
10/29/2014,553,32
10/29/2014,554,350
10/29/2014,555,19
10/29/2014,556,27
10/29/2014,557,1500
10/25/2014,558,3389
10/25/2014,559,37
10/25/2014,560,470
10/25/2014,561,3896
10/25/2014,562,1008
10/25/2014,563,164
10/25/2014,564,109
10/25/2014,565,1281
10/22/2014,566,3223
10/22/2014,567,37
10/22/2014,568,446
10/22/2014,569,3706
10/22/2014,570,374
10/22/2014,571,50
10/22/2014,572,80
10/22/2014,573,454
10/22/2014,574,12
10/22/2014,575,50
10/22/2014,576,18
10/22/2014,577,12
10/22/2014,578,986
10/22/2014,579,164
10/22/2014,580,109
10/22/2014,581,1259
10/17/2014,582,2977
10/17/2014,583,37
10/17/2014,584,396
10/17/2014,585,3410
10/17/2014,586,932
10/17/2014,587,161
10/17/2014,588,107
10/17/2014,589,1200
10/15/2014,590,2849
10/15/2014,591,37
10/15/2014,592,366
10/15/2014,593,3252
10/15/2014,594,1110
10/15/2014,595,50
10/15/2014,596,220
10/15/2014,597,1330
10/15/2014,598,39
10/15/2014,599,50
10/15/2014,600,60
10/15/2014,601,41
10/15/2014,602,926
10/15/2014,603,157
10/15/2014,604,100
10/15/2014,605,1183
10/10/2014,606,2593
10/10/2014,607,37
10/10/2014,608,320
10/10/2014,609,2950
10/10/2014,610,753
10/10/2014,611,142
10/10/2014,612,35
10/10/2014,613,930
10/8/2014,614,2455
10/8/2014,615,37
10/8/2014,616,297
10/8/2014,617,2789
10/8/2014,618,924
10/8/2014,619,50
10/8/2014,620,190
10/8/2014,621,1114
10/8/2014,622,38
10/8/2014,623,50
10/8/2014,624,64
10/8/2014,625,40
10/8/2014,626,725
10/8/2014,627,123
10/8/2014,628,31
10/8/2014,629,879
10/3/2014,630,2179
10/3/2014,631,37
10/3/2014,632,221
10/3/2014,633,2437
10/3/2014,634,575
10/3/2014,635,37
10/3/2014,636,11
10/3/2014,637,623
10/1/2014,638,2076
10/1/2014,639,37
10/1/2014,640,191
10/1/2014,641,2304
10/1/2014,642,788
10/1/2014,643,50
10/1/2014,644,106
10/1/2014,645,894
10/1/2014,646,38
10/1/2014,647,50
10/1/2014,648,56
10/1/2014,649,39
10/1/2014,650,574
10/1/2014,651,37
10/1/2014,652,11
10/1/2014,653,622
9/26/2014,654,1816
9/26/2014,655,37
9/26/2014,656,168
9/26/2014,657,2021
9/26/2014,658,557
9/26/2014,659,37
9/26/2014,660,11
9/26/2014,661,605
9/24/2014,662,1745
9/24/2014,663,37
9/24/2014,664,158
9/24/2014,665,1940
9/24/2014,666,644
9/24/2014,667,50
9/24/2014,668,93
9/24/2014,669,737
9/24/2014,670,37
9/24/2014,671,50
9/24/2014,672,59
9/24/2014,673,38
9/24/2014,674,552
9/24/2014,675,34
9/24/2014,676,11
9/24/2014,677,597
9/22/2014,678,1640
9/22/2014,679,37
9/22/2014,680,136
9/22/2014,681,1813
9/22/2014,682,545
9/22/2014,683,37
9/22/2014,684,11
9/22/2014,685,593
9/18/2014,686,1513
9/18/2014,687,37
9/18/2014,688,123
9/18/2014,689,1673
9/18/2014,690,585
9/18/2014,691,50
9/18/2014,692,69
9/18/2014,693,653
9/18/2014,694,39
9/18/2014,695,50
9/18/2014,696,56
9/18/2014,697,39
9/18/2014,698,517
9/18/2014,699,34
9/18/2014,700,11
9/18/2014,701,562
9/16/2014,702,1464
9/16/2014,703,37
9/16/2014,704,119
9/16/2014,705,1620
9/16/2014,706,583
9/16/2014,707,50
9/16/2014,708,70
9/16/2014,709,653
9/16/2014,710,40
9/16/2014,711,50
9/16/2014,712,59
9/16/2014,713,40
9/16/2014,714,514
9/16/2014,715,37
9/16/2014,716,11
9/16/2014,717,562
9/16/2014,718,35
9/16/2014,719,100
9/16/2014,720,9
9/16/2014,721,35
9/12/2014,722,1287
9/12/2014,723,37
9/12/2014,724,100
9/12/2014,725,1424
9/12/2014,726,518
9/12/2014,727,300
9/12/2014,728,65
9/12/2014,729,586
9/12/2014,730,40
9/12/2014,731,8
9/12/2014,732,65
9/12/2014,733,41
9/12/2014,734,478
9/12/2014,735,34
9/12/2014,736,12
9/12/2014,737,524
9/12/2014,738,37
9/12/2014,739,92
9/12/2014,740,12
9/12/2014,741,37
9/8/2014,742,1234
9/8/2014,743,37
9/8/2014,744,90
9/8/2014,745,1361
9/8/2014,746,484
9/8/2014,747,50
9/8/2014,748,49
9/8/2014,749,533
9/8/2014,750,39
9/8/2014,751,50
9/8/2014,752,54
9/8/2014,753,39
9/8/2014,754,461
9/8/2014,755,37
9/8/2014,756,11
9/8/2014,757,509
9/8/2014,758,148
9/8/2014,759,50
9/8/2014,760,6
9/8/2014,761,154
9/8/2014,762,32
9/8/2014,763,50
9/8/2014,764,55
9/8/2014,765,30
9/5/2014,766,1146
9/5/2014,767,37
9/5/2014,768,78
9/5/2014,769,1261
9/5/2014,770,396
9/5/2014,771,50
9/5/2014,772,37
9/5/2014,773,433
9/5/2014,774,35
9/5/2014,775,50
9/5/2014,776,47
9/5/2014,777,34
9/5/2014,778,443
9/5/2014,779,37
9/5/2014,780,11
9/5/2014,781,491
9/5/2014,782,127
9/5/2014,783,300
9/5/2014,784,6
9/5/2014,785,136
9/5/2014,786,29
9/5/2014,787,8
9/5/2014,788,55
9/5/2014,789,28
9/5/2014,790,39
9/5/2014,791,100
9/5/2014,792,14
9/5/2014,793,39
8/29/2014,794,935
8/29/2014,795,37
8/29/2014,796,54
8/29/2014,797,1026
8/29/2014,798,308
8/29/2014,799,350
8/29/2014,800,19
8/29/2014,801,331
8/29/2014,802,33
8/29/2014,803,11
8/29/2014,804,35
8/29/2014,805,32
8/29/2014,806,380
8/29/2014,807,34
8/29/2014,808,8
8/29/2014,809,422
8/29/2014,810,35
8/29/2014,811,200
8/29/2014,812,200
8/29/2014,813,39
8/29/2014,814,9
8/29/2014,815,6
8/29/2014,816,25
8/29/2014,817,9
8/29/2014,818,41
8/29/2014,819,92
8/29/2014,820,15
8/29/2014,821,41
3/11/2015,822,8428
3/11/2015,823,287
3/11/2015,824,11619
3/11/2015,825,158
3/11/2015,826,208
3/11/2015,827,202
3/11/2015,828,3263
3/11/2015,829,202
3/11/2015,830,2904
3/11/2015,831,3629
3/12/2015,832,11677
3/12/2015,833,8463
3/12/2015,834,287
3/12/2015,835,2927
3/12/2015,836,3655
3/12/2015,837,3289
3/12/2015,838,208
3/12/2015,839,158
3/13/2015,840,11696
3/13/2015,841,8469
3/13/2015,842,287
3/13/2015,843,2940
3/13/2015,844,3663
3/13/2015,845,3297
3/13/2015,846,208
3/13/2015,847,158
3/16/2015,848,11742
3/16/2015,849,8484
3/16/2015,850,287
3/16/2015,851,2971
3/16/2015,852,3687
3/16/2015,853,3321
3/16/2015,854,208
3/16/2015,855,158
3/17/2015,856,11751
3/17/2015,857,8487
3/17/2015,858,287
3/17/2015,859,2977
3/17/2015,860,3691
3/17/2015,861,3325
3/17/2015,862,208
3/17/2015,863,158
3/18/2015,864,8487
3/18/2015,865,287
3/18/2015,866,2977
3/18/2015,867,11751
3/18/2015,868,194
3/18/2015,869,194
3/18/2015,870,3325
3/18/2015,871,208
3/18/2015,872,158
3/18/2015,873,3691
3/20/2015,874,11794
3/20/2015,875,8508
3/20/2015,876,287
3/20/2015,877,2999
3/20/2015,878,3712
3/20/2015,879,3346
3/20/2015,880,208
3/20/2015,881,158
3/23/2015,882,11829
3/23/2015,883,8518
3/23/2015,884,287
3/23/2015,885,3024
3/23/2015,886,3742
3/23/2015,887,3376
3/23/2015,888,208
3/23/2015,889,158
3/24/2015,890,11841
3/24/2015,891,8520
3/24/2015,892,287
3/24/2015,893,3034
3/24/2015,894,3747
3/24/2015,895,3381
3/24/2015,896,208
3/24/2015,897,158
3/25/2015,898,8520
3/25/2015,899,208
3/25/2015,900,3034
3/25/2015,901,11841
3/25/2015,902,287
3/25/2015,903,3381
3/25/2015,904,146
3/25/2015,905,158
3/25/2015,906,3747
3/25/2015,907,146
3/26/2015,908,3050
3/26/2015,909,3764
3/26/2015,910,3398
3/26/2015,911,208
3/26/2015,912,8529
3/26/2015,913,11866
3/26/2015,914,287
3/26/2015,915,158
3/27/2015,916,11889
3/27/2015,917,8532
3/27/2015,918,287
3/27/2015,919,3773
3/27/2015,920,3070
3/27/2015,921,3407
3/27/2015,922,208
3/27/2015,923,158
4/7/2015,924,12139
4/7/2015,925,8555
4/7/2015,926,287
4/7/2015,927,3297
4/7/2015,928,3832
4/7/2015,929,3466
4/7/2015,930,208
4/7/2015,931,158
4/9/2015,932,12155
4/9/2015,933,8558
4/9/2015,934,287
4/9/2015,935,3310
4/9/2015,936,3841
4/9/2015,937,3475
4/9/2015,938,208
4/9/2015,939,158
4/13/2015,940,8560
4/13/2015,941,287
4/13/2015,942,3341
4/13/2015,943,12188
4/13/2015,944,158
4/13/2015,945,3854
4/13/2015,946,208
4/13/2015,947,3488
4/14/2015,948,8563
4/14/2015,949,287
4/14/2015,950,3351
4/14/2015,951,12201
4/14/2015,952,158
4/14/2015,953,3857
4/14/2015,954,208
4/14/2015,955,3491
4/15/2015,956,8563
4/15/2015,957,287
4/15/2015,958,3351
4/15/2015,959,12201
4/15/2015,960,43
4/15/2015,961,43
4/15/2015,962,3491
4/15/2015,963,208
4/15/2015,964,158
4/15/2015,965,3857
4/16/2015,966,12223
4/16/2015,967,8566
4/16/2015,968,287
4/16/2015,969,3370
4/16/2015,970,3865
4/16/2015,971,3499
4/16/2015,972,208
4/16/2015,973,158
4/17/2015,974,12244
4/17/2015,975,8569
4/17/2015,976,287
4/17/2015,977,3388
4/17/2015,978,3865
4/17/2015,979,3499
4/17/2015,980,208
4/17/2015,981,158
4/20/2015,982,12256
4/20/2015,983,8572
4/20/2015,984,287
4/20/2015,985,3397
4/20/2015,986,3872
4/20/2015,987,3506
4/20/2015,988,208
4/20/2015,989,158
4/21/2015,990,12265
4/21/2015,991,8573
4/21/2015,992,287
4/21/2015,993,3405
4/21/2015,994,3877
4/21/2015,995,3511
4/21/2015,996,208
4/21/2015,997,158
4/22/2015,998,8575
4/22/2015,999,208
4/22/2015,1000,3405
4/22/2015,1001,3877
4/22/2015,1002,12267
4/22/2015,1003,30
4/22/2015,1004,30
4/22/2015,1005,287
4/22/2015,1006,158
4/22/2015,1007,3511
4/23/2015,1008,12294
4/23/2015,1009,8581
4/23/2015,1010,287
4/23/2015,1011,3426
4/23/2015,1012,3885
4/23/2015,1013,3519
4/23/2015,1014,208
4/23/2015,1015,158
4/24/2015,1016,12313
4/24/2015,1017,8584
4/24/2015,1018,287
4/24/2015,1019,3442
4/24/2015,1020,3886
4/24/2015,1021,3520
4/24/2015,1022,208
4/24/2015,1023,158
4/27/2015,1024,12362
4/27/2015,1025,8585
4/27/2015,1026,287
4/27/2015,1027,3490
4/27/2015,1028,3895
4/27/2015,1029,3529
4/27/2015,1030,208
4/27/2015,1031,158
4/28/2015,1032,12371
4/28/2015,1033,8586
4/28/2015,1034,287
4/28/2015,1035,3498
4/28/2015,1036,3899
4/28/2015,1037,3533
4/28/2015,1038,208
4/28/2015,1039,158
4/30/2015,1040,12387
4/30/2015,1041,8588
4/30/2015,1042,287
4/30/2015,1043,3512
4/30/2015,1044,3901
4/30/2015,1045,3535
4/30/2015,1046,208
4/30/2015,1047,158
5/1/2015,1048,12398
5/1/2015,1049,8590
5/1/2015,1050,287
5/1/2015,1051,3521
5/1/2015,1052,3901
5/1/2015,1053,3535
5/1/2015,1054,208
5/1/2015,1055,158
5/4/2015,1056,12426
5/4/2015,1057,8592
5/4/2015,1058,287
5/4/2015,1059,3547
5/4/2015,1060,3902
5/4/2015,1061,3536
5/4/2015,1062,208
5/4/2015,1063,158
5/5/2015,1064,12440
5/5/2015,1065,8595
5/5/2015,1066,287
5/5/2015,1067,3558
5/5/2015,1068,3903
5/5/2015,1069,3537
5/5/2015,1070,208
5/5/2015,1071,158
5/6/2015,1072,8595
5/6/2015,1073,287
5/6/2015,1074,3558
5/6/2015,1075,12440
5/6/2015,1076,32
5/6/2015,1077,32
5/6/2015,1078,3537
5/6/2015,1079,208
5/6/2015,1080,158
5/6/2015,1081,3903
5/7/2015,1082,12470
5/7/2015,1083,8597
5/7/2015,1084,287
5/7/2015,1085,3586
5/7/2015,1086,3904
5/7/2015,1087,3538
5/7/2015,1088,208
5/7/2015,1089,158
5/8/2015,1090,12492
5/8/2015,1091,8597
5/8/2015,1092,287
5/8/2015,1093,3608
5/8/2015,1094,3904
5/8/2015,1095,3538
5/8/2015,1096,208
5/8/2015,1097,158
5/11/2015,1098,12519
5/11/2015,1099,8597
5/11/2015,1100,287
5/11/2015,1101,3635
5/11/2015,1102,3904
5/11/2015,1103,3538
5/11/2015,1104,208
5/11/2015,1105,158
5/12/2015,1106,12523
5/12/2015,1107,8597
5/12/2015,1108,287
5/12/2015,1109,3639
5/12/2015,1110,3904
5/12/2015,1111,3538
5/12/2015,1112,208
5/12/2015,1113,158
5/13/2015,1114,158
5/13/2015,1115,3904
5/13/2015,1116,3635
5/13/2015,1117,12519
5/13/2015,1118,22
5/13/2015,1119,287
5/13/2015,1120,3538
5/13/2015,1121,8597
5/13/2015,1122,22
5/13/2015,1123,208
5/15/2015,1124,12540
5/15/2015,1125,8598
5/15/2015,1126,287
5/15/2015,1127,3655
5/15/2015,1128,3904
5/15/2015,1129,3538
5/15/2015,1130,208
5/15/2015,1131,158
5/14/2015,1132,12536
5/14/2015,1133,8597
5/14/2015,1134,287
5/14/2015,1135,3652
5/14/2015,1136,3904
5/14/2015,1137,3538
5/14/2015,1138,208
5/14/2015,1139,158
5/19/2015,1140,12632
5/19/2015,1141,8605
5/19/2015,1142,287
5/19/2015,1143,3740
5/19/2015,1144,3907
5/19/2015,1145,3541
5/19/2015,1146,208
5/19/2015,1147,158
5/18/2015,1148,12593
5/18/2015,1149,8603
5/18/2015,1150,287
5/18/2015,1151,3703
5/18/2015,1152,3906
5/18/2015,1153,3540
5/18/2015,1154,208
5/18/2015,1155,158
5/20/2015,1156,8605
5/20/2015,1157,287
5/20/2015,1158,3740
5/20/2015,1159,12632
5/20/2015,1160,19
5/20/2015,1161,19
5/20/2015,1162,3541
5/20/2015,1163,208
5/20/2015,1164,158
5/20/2015,1165,3907
5/21/2015,1166,12656
5/21/2015,1167,8607
5/21/2015,1168,287
5/21/2015,1169,3762
5/21/2015,1170,3907
5/21/2015,1171,3541
5/21/2015,1172,208
5/21/2015,1173,158
5/22/2015,1174,12666
5/22/2015,1175,8608
5/22/2015,1176,287
5/22/2015,1177,3771
5/22/2015,1178,3907
5/22/2015,1179,3541
5/22/2015,1180,208
5/22/2015,1181,158
5/26/2015,1182,12706
5/26/2015,1183,8608
5/26/2015,1184,287
5/26/2015,1185,3811
5/26/2015,1186,3908
5/26/2015,1187,3542
5/26/2015,1188,208
5/26/2015,1189,158
5/25/2015,1190,12696
5/25/2015,1191,8608
5/25/2015,1192,287
5/25/2015,1193,3801
5/25/2015,1194,3908
5/25/2015,1195,3542
5/25/2015,1196,208
5/25/2015,1197,158
5/27/2015,1198,8608
